x,y
-41.02,102.5
30.23547,84.68613
30.23547,84.39827
30.23547,84.1104
30.23547,84.48293
30.23547,84.17813
30.23547,84.58453
30.23547,84.24586
30.23547,84.466
30.23547,84.22894
30.23547,83.97493
30.23547,84.19507
30.23547,83.92413
30.23547,84.5676
30.23547,84.34747
30.23547,84.12733
30.23547,83.9072
30.23547,83.99187
30.4048,84.73693
30.42173,85.51587
30.42173,85.24493
30.42173,84.974
30.42173,83.63627
30.42173,86.0916
30.42173,85.82066
30.42173,85.5328
30.42173,85.70213
30.42173,85.41427
30.42173,85.10947
30.42173,84.8216
30.42173,86.02386
30.42173,85.71907
30.42173,85.8884
30.42173,85.5836
30.42173,85.26186
30.42173,84.9232
30.42173,85.90533
30.42173,85.97307
30.42173,85.6344
30.42173,85.29573
30.42173,84.94013
30.42173,85.99
30.42173,85.4312
30.42173,85.21107
30.42173,86.15933
30.42173,85.92226
30.42173,85.6852
30.42173,85.44814
30.42173,85.00787
30.42173,84.75387
30.42173,86.05773
30.42173,85.80373
30.42173,85.228
30.42173,85.0248
30.42173,86.2948
30.42173,86.07467
30.42173,85.87147
30.42173,85.66827
30.64187,86.53187
30.64187,83.48386
30.67573,86.53187
30.79427,83.48386
30.9128,86.53187
30.9636,86.53187
30.98053,83.48386
30.99747,83.48386
31.04827,83.48386
31.116,83.48386
31.13293,83.48386
31.14987,86.53187
31.1668,83.48386
31.20067,83.48386
31.20067,83.48386
31.20067,86.53187
31.2684,83.48386
31.2684,86.53187
31.30227,83.48386
31.3192,83.46693
31.3192,83.3992
31.40387,83.21294
31.5224,83.21294
31.53933,83.21294
31.5732,83.21294
31.74253,83.21294
31.79333,83.21294
31.81027,86.53187
31.89493,83.22987
31.89493,83.22987
31.94573,86.53187
31.99653,86.53187
32.01347,86.53187
32.01347,86.53187
32.0304,86.53187
32.11507,83.21294
32.11507,86.53187
32.21667,86.53187
32.2336,83.21294
32.386,86.53187
32.4368,86.53187
32.45373,86.53187
32.52147,83.48386
32.5384,83.48386
32.5384,86.53187
32.57227,83.48386
32.5892,83.48386
32.5892,86.53187
32.5892,86.53187
32.60613,86.53187
32.62307,83.48386
32.64,83.48386
32.65693,83.48386
32.67387,83.48386
32.6908,83.48386
32.70773,83.48386
32.70773,86.53187
32.72467,83.48386
32.7416,86.53187
32.75853,86.53187
32.75853,86.53187
32.7924,83.48386
32.86013,86.53187
32.87707,83.48386
32.91093,86.53187
32.96173,83.48386
32.96173,83.48386
32.97867,83.48386
32.97867,86.53187
32.9956,83.48386
33.01254,83.48386
33.02947,83.48386
33.0464,86.53187
33.06333,86.53187
33.08027,83.48386
33.08027,86.53187
33.13107,83.48386
33.148,86.53187
33.18187,83.48386
33.1988,83.48386
33.1988,86.53187
33.21573,83.48386
33.23267,83.48386
33.2496,86.53187
33.26653,86.53187
33.28347,83.48386
33.3004,83.48386
33.31733,86.53187
33.33427,83.48386
33.33427,86.53187
33.3512,83.48386
33.36813,83.48386
33.36813,86.53187
33.38507,83.48386
33.38507,86.53187
33.402,83.48386
33.402,86.53187
33.46973,83.48386
33.53747,86.53187
33.5544,83.48386
33.5544,83.48386
33.5544,86.53187
33.57133,83.48386
33.58827,83.48386
33.6052,86.53187
33.62214,83.48386
33.62214,86.53187
33.63906,86.53187
33.656,83.48386
33.656,86.53187
33.67293,83.48386
33.67293,83.48386
33.67293,86.53187
33.68987,86.53187
33.7068,83.48386
33.7068,86.53187
33.72373,86.53187
33.74067,83.48386
33.7576,83.48386
33.7576,86.53187
33.7576,86.53187
33.7576,86.53187
33.77453,90.27413
33.77453,90.0032
33.77453,89.71533
33.77453,89.4444
33.77453,89.15653
33.77453,88.86867
33.77453,88.5808
33.77453,88.276
33.77453,87.9712
33.77453,87.6664
33.77453,87.3616
33.77453,87.03986
33.77453,86.7012
33.77453,90.57893
33.77453,90.29107
33.77453,90.37573
33.77453,90.08787
33.77453,89.76614
33.77453,89.46133
33.77453,89.15653
33.77453,88.85173
33.77453,88.53
33.77453,88.20827
33.77453,87.88654
33.77453,87.54787
33.77453,87.2092
33.77453,86.8536
33.77453,90.39267
33.77453,90.3588
33.77453,90.03706
33.77453,89.37666
33.77453,89.038
33.77453,88.71627
33.77453,88.3776
33.77453,88.022
33.77453,87.6664
33.77453,87.3108
33.77453,90.37573
33.77453,90.17253
33.77453,89.93546
33.77453,89.6984
33.77453,89.1904
33.77453,88.95333
33.77453,88.69933
33.77453,88.44534
33.77453,88.1744
33.77453,87.90347
33.77453,87.63253
33.77453,87.07373
33.77453,86.76894
33.77453,83.46693
33.77453,83.43307
33.77453,90.68053
33.77453,90.44347
33.77453,90.18947
33.77453,90.27413
33.77453,90.02013
33.77453,89.7492
33.77453,89.47826
33.77453,89.20734
33.77453,88.9364
33.77453,88.64854
33.77453,88.3776
33.77453,88.08974
33.77453,87.78493
33.77453,87.49707
33.77453,87.17533
33.77453,86.87054
33.77453,86.5488
33.77453,90.562
33.77453,89.91853
33.77453,89.73227
33.77453,89.546
33.77453,89.37666
33.77453,89.00414
33.77453,88.80093
33.77453,88.61467
33.77453,88.41147
33.77453,88.20827
33.77453,88.00507
33.77453,87.80186
33.77453,87.58173
33.77453,87.34467
33.77453,87.1076
33.77453,86.87054
33.77453,86.61653
33.77453,82.9928
33.77453,82.434
33.77453,81.8244
33.77453,92.00134
33.77453,91.79813
33.77453,90.6636
33.77453,90.47733
33.77453,90.29107
33.77453,90.1048
33.77453,90.17253
33.77453,89.96933
33.77453,89.56293
33.77453,89.35973
33.77453,88.9364
33.77453,88.71627
33.77453,88.51307
33.77453,88.276
33.77453,88.05587
33.77453,87.8188
33.77453,87.58173
33.77453,87.32774
33.77453,87.07373
