x,y
88.74346,55.25483
88.73708,55.15967
88.72902,54.97249
84.51228,55.34249
84.50211,55.24675
84.50006,55.1428
84.47636,55.05547
84.48473,55.74614
84.47045,55.5473
84.43123,55.25871
80.16626,61.80859
80.06226,61.81536
79.86678,61.82442
79.36095,61.82112
79.26329,61.81848
78.7548,61.82151
78.66322,61.82138
78.56052,61.82371
78.45157,61.82434
78.14097,61.80671
78.04539,61.82071
77.84486,61.82416
77.74654,61.83448
77.65531,61.82376
76.66967,54.83752
76.4798,54.85414
76.38169,54.87373
76.28566,54.8695
76.17292,54.87173
76.07739,54.88179
75.96401,54.83799
75.87863,55.12044
75.87116,55.02578
75.86717,54.92788
75.87263,54.84533
75.87323,55.83318
75.8652,55.72705
75.86006,55.63718
75.84623,55.53778
75.84169,55.44633
75.82212,55.21301
75.82095,55.13959
75.81396,55.03838
75.80303,54.94475
75.77539,54.85376
75.82619,55.8478
75.81625,55.75288
75.80902,55.65388
75.80021,55.55352
75.7829,55.45481
75.71394,55.06205
75.60174,55.27951
75.60133,55.17464
76.4057,61.6252
75.53523,55.26035
75.52144,55.18677
76.31371,61.63086
75.92824,61.79002
75.92188,61.68188
75.82578,61.8177
75.42372,61.83117
75.02649,61.81797
74.91977,61.82029
74.50861,61.81112
74.40727,61.81282
74.31815,61.82099
74.20821,61.81462
74.10221,61.81646
73.80154,61.80584
73.70752,61.81311
73.61002,61.81223
73.4072,61.81352
73.30284,61.83358
73.26553,62.25436
73.26588,62.16467
73.25443,62.05253
73.30228,64.16556
73.2885,64.0565
73.27563,63.97194
73.27135,63.87836
73.26798,63.76693
73.26501,63.67096
73.25056,63.57272
73.25507,63.47575
73.31837,64.97501
73.29108,64.77417
73.28046,64.68145
73.26884,64.56911
73.27116,64.48016
73.26441,64.3868
73.25273,64.27597
73.25235,64.18744
73.23604,64.07875
73.22548,63.98619
73.3087,65.48666
73.271,65.29253
73.26208,65.19119
73.25029,65.08318
73.25054,64.98493
73.23956,64.88876
73.23521,64.79743
73.24807,65.8945
73.25146,65.79866
73.2429,65.69303
73.24171,65.59678
73.22716,65.49922
73.22168,65.39985
73.28133,66.79377
73.26587,66.70064
73.24878,66.59779
73.23959,66.49695
73.22964,66.30581
73.2254,66.20081
73.22174,66.10987
73.26817,67.3969
73.25415,67.30568
73.23903,67.20753
73.2453,67.10508
73.24387,67.93253
68.09845,54.99118
68.01876,54.98656
68.00084,54.94526
67.92193,54.99468
67.9035,54.95648
67.82648,55.00727
67.80653,54.966
66.31031,44.12877
67.73167,55.01725
67.71068,54.97389
67.61327,54.97579
67.51192,54.9755
66.00594,44.11583
67.41228,55.18046
67.4035,55.0928
67.40647,54.98368
67.39269,54.91658
65.89999,44.12086
67.38439,55.70399
67.37297,55.60414
67.36082,55.50255
67.35323,55.40968
67.34748,55.30986
67.34465,55.21049
67.33566,55.10617
67.32265,55.01189
67.30731,54.92454
65.80254,44.11739
67.33064,55.79167
67.32254,55.71281
67.30368,55.61571
67.28722,55.517
67.26228,55.419
67.24935,55.32175
67.24367,55.22462
67.23724,55.12152
67.23685,55.02179
67.22611,54.93348
65.70538,44.12447
67.23357,55.70706
67.22375,55.62965
67.2164,55.53148
67.20868,55.43876
65.60168,44.12449
65.49757,44.13305
68.43825,65.97626
65.40002,44.14119
68.32546,65.97014
65.29523,44.11198
65.19215,44.12071
68.13483,65.98422
65.09683,44.12305
64.99596,44.12539
64.8936,44.13217
64.79446,44.13427
64.69898,44.1418
64.60037,44.15591
64.58765,44.11391
64.49749,44.16845
64.48789,44.12178
64.40048,44.17614
64.38652,44.13126
64.28991,44.13384
67.99344,71.57854
64.18893,44.13888
67.9061,71.67912
67.90588,71.58602
67.88962,71.50034
64.08849,44.14457
67.78778,71.52007
63.99231,44.14872
63.89121,44.15406
63.87679,44.11052
67.57436,71.53234
63.7914,44.16328
63.77744,44.12166
67.50629,71.63988
67.48436,71.53118
63.69373,44.17423
63.68248,44.12946
67.39632,71.65269
63.59058,44.18249
63.57959,44.13431
63.48256,44.13703
63.38285,44.13761
63.28259,44.14114
63.26324,44.10075
63.1851,44.15057
63.17426,44.1099
63.08604,44.15552
63.07305,44.11715
62.98116,44.16873
62.97591,44.12385
62.87571,44.12675
62.77591,44.13118
62.67664,44.13136
62.57485,44.13733
62.55788,44.09626
62.4749,44.14581
62.46425,44.10119
62.3791,44.15312
62.36582,44.10959
62.2807,44.16269
62.26971,44.11342
62.17493,44.17824
62.16784,44.12004
62.0794,44.19705
62.06832,44.12405
61.96695,44.13015
61.86715,44.13831
61.85449,44.09163
61.76989,44.15028
61.75559,44.1041
61.66967,44.16402
61.66087,44.1111
61.56992,44.17515
61.56309,44.11557
61.47325,44.18785
61.46147,44.12097
61.37628,44.19411
61.36044,44.12666
61.26158,44.13274
61.16336,44.14001
61.14893,44.09007
61.06463,44.14831
61.04797,44.10098
60.96345,44.1594
60.95068,44.10849
60.86666,44.16828
60.85138,44.11561
60.76745,44.17867
60.75265,44.11889
60.66893,44.18702
60.65417,44.12518
60.57287,44.19792
60.55552,44.13126
60.45689,44.13937
60.43844,44.08982
60.3568,44.14894
60.34156,44.1001
60.2588,44.15939
60.24364,44.10877
60.15909,44.17356
60.14619,44.11465
60.05783,44.18511
60.04631,44.11984
59.95892,44.19363
59.94692,44.1238
59.85884,44.20825
59.84824,44.1277
59.76122,44.21859
59.74799,44.13609
59.72763,44.08578
59.65746,44.22503
59.64895,44.14553
